상가업소번호,상호명=빽다방,지점명,시군구코드,시군구명,"강남,서초,송파=1"
28516812,0,공덕새창로점,11440,마포구,0
25346931,0,서초우성점,11650,서초구,1
15655401,0,잠실장미상가,11710,송파구,1
28450254,0,중계은행사거리점,11350,노원구,0
25368024,0,성신여대점,11290,성북구,0
25364101,0,신림역1호점,11620,관악구,0
12438246,0,방이역코오롱점,11710,송파구,1
12425857,0,강남구,11680,강남구,1
23674574,0,방화사거리점,11500,강서구,0
12451641,0,이태원점,11170,용산구,0
11797256,0,반포고투몰점,11650,서초구,1
11797392,0,한양대점,11200,성동구,0
11797363,0,종로관철점,11110,종로구,0
11804284,0,서울과기대점,11350,노원구,0
11804350,0,반포고투몰2호점,11650,서초구,1
11804281,0,을지로입구역점,11140,중구,0
11763599,0,중랑역동부시장점,11260,중랑구,0
11804429,0,천호역로데오점,11740,강동구,0
11804299,0,종암사거리점,11290,성북구,0
11804241,0,월곡역점,11290,성북구,0
16659341,0,구산역점,11380,은평구,0
11776418,0,길음역점,11290,성북구,0
11795267,0,월계광운대점,11350,노원구,0
16749511,0,강변역점,11215,광진구,0
25293908,0,건대로데오점,11215,광진구,0
7155897,0,수서역점,11680,강남구,1
16608121,0,보라매타운점,11590,동작구,0
16594100,0,마포경찰서점,11440,마포구,0
16768044,0,암사역점,11740,강동구,0
11797355,0,잠실장미상가점,11710,송파구,1
11804279,0,안암역점,11290,성북구,0
11804435,0,노량진학원점,11590,동작구,0
11804545,0,거여역점,11710,송파구,1
16725696,0,개봉역점,11530,구로구,0
16585756,0,선정릉역점,11680,강남구,1
11797193,0,동대문역점,11110,종로구,0
25254992,0,아차산점,11215,광진구,0
16675028,0,연신내사거리점,11380,은평구,0
11806194,0,청담영동고점,11680,강남구,1
25246706,0,강동역헤르셔점,11740,강동구,0
11777468,0,목동사거리점,11500,강서구,0
11775767,0,역삼GS점,11680,강남구,1
25305917,0,강동구,11740,강동구,0
12562806,0,약수역점,11140,중구,0
16187924,0,명지대,11410,서대문구,0
25344968,0,잠실신천점,11710,송파구,1
28462412,0,성수역롯데캐슬점,11200,성동구,0
12608069,0,마곡나루역북부점,11500,강서구,0
12592846,0,사가정역점,11260,중랑구,0
12073350,0,구로시장점,11530,구로구,0
16973880,0,세종대후문점,11215,광진구,0
11970434,0,태평로점,11140,중구,0
25558969,0,명일역점,11740,강동구,0
11947822,0,신림역2호점,11620,관악구,0
17033710,0,응암역점,11380,은평구,0
17043795,0,동대문구,11230,동대문구,0
16957499,0,돈암아리랑점,11290,성북구,0
25455683,0,둔촌동역점,11740,강동구,0
25246852,0,잠실역지하도점,11710,송파구,1
17058228,0,봉천역점,11620,관악구,0
11970428,0,신대방삼거리점,11590,동작구,0
17077814,0,노원문화의거리점,11350,노원구,0
17045773,0,신논현역지점,11650,서초구,1
17009285,0,신사사거리지점,11650,서초구,1
17106995,0,양재시민의숲역,11650,서초구,1
16689989,0,월곡래미안점,11290,성북구,0
25371827,0,영등포신세계점,11560,영등포구,0
16669344,0,가산두산위브점,11545,금천구,0
11981868,0,당산역점,11560,영등포구,0
11992360,0,영등포구청점,11560,영등포구,0
17121297,0,구의역점,11215,광진구,0
12079461,0,천왕역점,11530,구로구,0
17128615,0,오류동역남부점,11530,구로구,0
17119544,0,신림난곡점,11620,관악구,0
16684674,0,답십리사거리점,11230,동대문구,0
17135582,0,굽은다리역점,11740,강동구,0
12002176,0,구로디지털역점,11530,구로구,0
12079327,0,까치산역점,11500,강서구,0
25224739,0,불광역점,11380,은평구,0
17107775,0,응암대림시장점,11380,은평구,0
17113100,0,수유역점,11305,강북구,0
12611054,0,노원역북부점,11350,노원구,0
12486219,0,구파발역미켈란점,11380,은평구,0
25250881,0,대치동학원가점,11680,강남구,1
11932265,0,망원시장점,11440,마포구,0
11954409,0,청량리역점,11230,동대문구,0
25275058,0,압구정로데오점,11680,강남구,1
17159155,0,합정역점,11440,마포구,0
17140638,0,올림픽북단점,11215,광진구,0
17146845,0,강서블루나인점,11500,강서구,0
12451970,0,신사역점,11680,강남구,1
17143995,0,선유도역점,11560,영등포구,0
17143641,0,상왕십리역점,11200,성동구,0
17147137,0,구로KT점,11620,관악구,0
12467150,0,신설동역1호점,11230,동대문구,0
17137373,0,창동역점,11320,도봉구,0
25288316,0,중앙대병원점,11590,동작구,0
23370656,0,강북구청점,11305,강북구,0
25412691,0,구로삼성IT점,11530,구로구,0
25233906,0,가락시장역점,11710,송파구,1
25255672,0,우장산역점,11500,강서구,0
26213879,0,서여의도점,11560,영등포구,0
16403505,0,KBS본관점,11560,영등포구,0
16171507,0,신대방역점,11620,관악구,0
11781347,0,남대문시장점,11140,중구,0
25578507,0,구로로제리움점,11530,구로구,0
15954205,0,발산역플레이스점,11500,강서구,0
25431707,0,대학로CGV점,11110,종로구,0
25230357,0,은평초교점,11380,은평구,0
25042368,0,신용산역점,11170,용산구,0
25365552,0,신촌역점,11410,서대문구,0
16587969,0,낙성대역점,11620,관악구,0
25253498,0,노원구,11350,노원구,0
23424299,0,원효용문시장점,11170,용산구,0
17086639,0,방이시장점,11710,송파구,1
25259337,0,강남소망점,11680,강남구,1
17098663,0,화곡역점,11500,강서구,0
14057824,0,명동중앙우체국,11140,중구,0
24347873,0,PAIKSCOFFEE,11440,마포구,0
27951583,0,강남역지하도점,11680,강남구,1
17206021,0,방학역점,11320,도봉구,0
17213451,0,상도E편한점,11590,동작구,0
17447430,0,강동구청점,11740,강동구,0
17459792,0,용답로데오점,11200,성동구,0
17450812,0,화양사거리점,11200,성동구,0
