,구,전용면적_median,전용면적_max,전용면적_min,전용면적_mean,거래금액_median,거래금액_max,거래금액_min,거래금액_mean,면적금액_median,면적금액_max,면적금액_min,면적금액_mean,연도
0,강남구,84.9,245.2,12.1,94.34927339371615,146000,640000,15000,153279.92612510614,1649,4935,479,1702.4862722898386,2018
1,강동구,84.23,244.59,10.3215,77.73633646656148,61900,170000,7200,65047.53185887309,824,3934,297,858.3894154818325,2018
2,강북구,84.705,159.28,12.02,77.63055232088807,42000,89550,8600,42263.48385469223,536,1170,222,563.4556004036327,2018
3,강서구,82.88,192.22,12.22,74.83247097895254,50000,134500,8600,53119.60378451439,706,1650,185,728.9667889553969,2018
4,관악구,84.1,170.11,12.21,76.63772443122139,48000,88000,11000,47146.78753937697,627,1285,279,642.2261113055653,2018
5,광진구,84.72,235.41,13.83,87.08885071477248,77500,246000,8000,80394.89312457453,967,1850,337,946.4567733151804,2018
6,구로구,78.665,180.88,12.49,74.2124858393518,41700,159000,6000,43346.99343401182,575,1352,205,595.3773254541475,2018
7,금천구,81.16,150.72,12.04,75.84550989081524,36500,92000,9000,37864.28387925498,492,1185,226,516.08734746307,2018
8,노원구,59.4,154.27,13.0588,65.97317294488603,36500,111400,8700,38802.62283979449,588,1595,274,601.7279308734236,2018
9,도봉구,73.89,240.97,13.09,72.33248892009155,33400,88000,8800,35758.01021189686,475,1012,185,504.3586928772019,2018
10,동대문구,84.56,181.47,12.58,76.42839579667668,49500,126800,9500,50771.40436624308,651,1517,279,693.1215379602477,2018
11,동작구,84.796,219.51,12.51,83.59427577393836,70000,165000,12000,70579.9838012959,858,1705,214,879.3585313174946,2018
12,마포구,84.69,245.39,12.85,81.24532324948989,74500,310000,12000,78173.33718558804,949,2137,361,989.6077498300476,2018
13,서대문구,84.77,242.21,12.08,79.96787461910003,53000,168000,9200,56374.719806763285,695,1898,189,727.429580081754,2018
14,서초구,84.99,395.06,18.2,105.02409483704433,135000,497000,13500,146858.42045821232,1297,3648,409,1461.5630848660858,2018
15,성동구,84.495,244.57,12.84,79.46107210434707,78000,480000,13800,81914.59930434782,1001,3159,408,1048.8125217391305,2018
16,성북구,84.71,200.53,13.28,81.24266119765133,49000,129000,10500,49751.62451952256,601,1473,188,629.7283026502124,2018
17,송파구,84.79,244.731,15.54,85.47479126108675,85000,387000,16800,99193.45316893792,1059,3248,354,1203.0566731559593,2018
18,양천구,84.04,242.19,14.02,81.57685823241341,57000,246000,9300,65974.94820922443,661,2212,244,811.3573821180108,2018
19,영등포구,83.59,244.97,12.06,79.4636978864732,59900,269000,7563,66687.51207729468,807,1931,288,845.0769927536232,2018
20,용산구,89.82,317.36,13.01,107.54340081490166,105000,810000,12500,132284.51164144353,1142,3309,276,1198.8504074505238,2018
21,은평구,84.59,216.14,12.29,79.98698118311553,47800,153000,10000,48505.384066587394,625,1284,143,627.2479191438763,2018
22,종로구,84.33,239.484,12.09,81.77955491009675,57000,200000,8450,61517.681881051176,735,2172,298,764.3416320885201,2018
23,중구,84.88,244.32,15.55,82.96098401253914,68200,300000,7500,68952.6802507837,856,1716,240,871.6293103448276,2018
24,중랑구,84.03,257.26,12.0156,74.60326150381101,38200,165000,8450,39454.51074151074,540,990,272,541.1936936936937,2018
