cafe_id,구_id,시군구명,빽다방_지점수,스타벅스_지점수,연도
1,1,강남구,15,72,2018
2,2,강동구,5,10,2018
3,3,강북구,1,5,2018
4,4,강서구,7,15,2018
5,5,관악구,5,9,2018
6,6,광진구,5,14,2018
7,7,구로구,5,11,2018
8,8,금천구,1,13,2018
9,9,노원구,5,9,2018
10,10,도붕구,0,1,2018
11,11,동대문구,6,8,2018
12,12,동작구,4,7,2018
13,13,마포구,6,30,2018
14,14,서대문구,4,17,2018
15,15,서초구,7,45,2018
16,16,성동구,4,6,2018
17,17,성북구,6,13,2018
18,18,송파구,10,28,2018
19,19,양천구,4,9,2018
20,20,영등포구,6,29,2018
21,21,용산구,4,19,2018
22,22,은평구,6,9,2018
23,23,종로구,7,31,2018
24,24,중구,7,52,2018
25,25,중랑구,2,6,2018
26,1,강남구,16,84,2019
27,2,강동구,5,13,2019
28,3,강북구,1,5,2019
29,4,강서구,8,17,2019
30,5,관악구,5,11,2019
31,6,광진구,5,14,2019
32,7,구로구,5,12,2019
33,8,금천구,1,13,2019
34,9,노원구,5,9,2019
35,10,도봉구,0,1,2019
36,11,동대문구,5,8,2019
37,12,동작구,4,8,2019
38,13,마포구,6,30,2019
39,14,서대문구,4,20,2019
40,15,서초구,9,47,2019
41,16,성동구,4,6,2019
42,17,성북구,6,13,2019
43,18,송파구,11,28,2019
44,19,양천구,4,11,2019
45,20,영등포구,6,30,2019
46,21,용산구,4,20,2019
47,22,은평구,6,10,2019
48,23,종로구,7,33,2019
49,24,중구,7,55,2019
50,25,중랑구,2,6,2019
51,1,강남구,11,87,2020
52,2,강동구,7,15,2020
53,3,강북구,2,5,2020
54,4,강서구,10,19,2020
55,5,관악구,7,11,2020
56,6,광진구,7,17,2020
57,7,구로구,7,9,2020
58,8,금천구,1,12,2020
59,9,노원구,6,11,2020
60,10,도봉구,2,2,2020
61,11,동대문구,4,7,2020
62,12,동작구,6,11,2020
63,13,마포구,5,29,2020
64,14,서대문구,3,21,2020
65,15,서초구,9,44,2020
66,16,성동구,3,8,2020
67,17,성북구,7,15,2020
68,18,송파구,9,33,2020
69,19,양천구,0,12,2020
70,20,영등포구,6,26,2020
71,21,용산구,3,21,2020
72,22,은평구,7,10,2020
73,23,종로구,4,31,2020
74,24,중구,5,48,2020
75,25,중랑구,2,7,2020
