id_popul,id_구,구,평균_유동인구_수,연도
1,1,강남구,1623862 ,2018
2,2,강동구,2108660 ,2018
3,3,강북구,1254046 ,2018
4,4,강서구,1381137 ,2018
5,5,관악구,1817603 ,2018
6,6,광진구,1813570 ,2018
7,7,구로구,1114624 ,2018
8,8,금천구,917901 ,2018
9,9,노원구,1684053 ,2018
10,10,도봉구,1566538 ,2018
11,11,동대문구,1609125 ,2018
12,12,동작구,1825676 ,2018
13,13,마포구,2202555 ,2018
14,14,서대문구,2141951 ,2018
15,15,서초구,1688277 ,2018
16,16,성동구,1542166 ,2018
17,17,성북구,1701840 ,2018
18,18,송파구,1507045 ,2018
19,19,양천구,1025928 ,2018
20,20,영등포구,1509473 ,2018
21,21,용산구,1330587 ,2018
22,22,은평구,1512668 ,2018
23,23,종로구,1352116 ,2018
24,24,중구,1935101 ,2018
25,25,중랑구,1812382 ,2018
26,1,강남구,3911656 ,2019
27,2,강동구,7078998 ,2019
28,3,강북구,4170298 ,2019
29,4,강서구,5005055 ,2019
30,5,관악구,5608834 ,2019
31,6,광진구,5475999 ,2019
32,7,구로구,3591969 ,2019
33,8,금천구,3124017 ,2019
34,9,노원구,5557406 ,2019
35,10,도봉구,4668820 ,2019
36,11,동대문구,4321407 ,2019
37,12,동작구,4413341 ,2019
38,13,마포구,4962263 ,2019
39,14,서대문구,5962551 ,2019
40,15,서초구,4497155 ,2019
41,16,성동구,4073517 ,2019
42,17,성북구,4627956 ,2019
43,18,송파구,5000431 ,2019
44,19,양천구,4109387 ,2019
45,20,영등포구,4129782 ,2019
46,21,용산구,3163578 ,2019
47,22,은평구,6690533 ,2019
48,23,종로구,3176201 ,2019
49,24,중구,4244256 ,2019
50,25,중랑구,5576450 ,2019
51,1,강남구,3970778 ,2020
52,2,강동구,6908571 ,2020
53,3,강북구,4164910 ,2020
54,4,강서구,5143527 ,2020
55,5,관악구,5600016 ,2020
56,6,광진구,5480490 ,2020
57,7,구로구,3624955 ,2020
58,8,금천구,3195136 ,2020
59,9,노원구,5623670 ,2020
60,10,도봉구,4693381 ,2020
61,11,동대문구,4345744 ,2020
62,12,동작구,4396651 ,2020
63,13,마포구,4876163 ,2020
64,14,서대문구,6031132 ,2020
65,15,서초구,4401193 ,2020
66,16,성동구,4039086 ,2020
67,17,성북구,4518912 ,2020
68,18,송파구,5044524 ,2020
69,19,양천구,4193439 ,2020
70,20,영등포구,4105180 ,2020
71,21,용산구,3112608 ,2020
72,22,은평구,6827242 ,2020
73,23,종로구,3013604 ,2020
74,24,중구,4031902 ,2020
75,25,중랑구,5710217 ,2020
