,id_popul,id_gu,gu,median,mean,min,max,year
0,0,0,동대문구,1621476,1621476,동대문구,동대문구,2018
1,0,0,강남구,1579142,1579142,강남구,강남구,2018
2,0,0,영등포구,1470918,1470918,영등포구,영등포구,2018
3,0,0,서초구,1549274,1549274,서초구,서초구,2018
4,0,0,동작구,1647936,1647936,동작구,동작구,2018
5,0,0,금천구,987250,987250,금천구,금천구,2018
6,0,0,양천구,977568,977568,양천구,양천구,2018
7,0,0,관악구,1502106,1502106,관악구,관악구,2018
8,0,0,강동구,2102922,2102922,강동구,강동구,2018
9,0,0,강서구,1128090,1128090,강서구,강서구,2018
10,0,0,성북구,1521893,1521893,성북구,성북구,2018
11,0,0,송파구,1474086,1474086,송파구,송파구,2018
12,0,0,도봉구,1417016,1417016,도봉구,도봉구,2018
13,0,0,용산구,1311730,1311730,용산구,용산구,2018
14,0,0,강북구,1024564,1024564,강북구,강북구,2018
15,0,0,은평구,1361730,1361730,은평구,은평구,2018
16,0,0,중구,1858079,1858079,중구,중구,2018
17,0,0,성동구,1435284,1435284,성동구,성동구,2018
18,0,0,중랑구,1693348,1693348,중랑구,중랑구,2018
19,0,0,광진구,1743067,1743067,광진구,광진구,2018
20,0,0,구로구,1078638,1078638,구로구,구로구,2018
21,0,0,서대문구,1698488,1698488,서대문구,서대문구,2018
22,0,0,종로구,1390878,1390878,종로구,종로구,2018
23,0,0,마포구,2124308,2124308,마포구,마포구,2018
24,0,0,노원구,1504425,1504425,노원구,노원구,2018
25,0,0,동대문구,4162122,4162122,동대문구,동대문구,2019
26,0,0,강남구,3729864,3729864,강남구,강남구,2019
27,0,0,영등포구,4216671,4216671,영등포구,영등포구,2019
28,0,0,서초구,3967451,3967451,서초구,서초구,2019
29,0,0,동작구,4490261,4490261,동작구,동작구,2019
30,0,0,금천구,3165571,3165571,금천구,금천구,2019
31,0,0,양천구,4212392,4212392,양천구,양천구,2019
32,0,0,관악구,5414032,5414032,관악구,관악구,2019
33,0,0,강동구,6518878,6518878,강동구,강동구,2019
34,0,0,강서구,4524272,4524272,강서구,강서구,2019
35,0,0,성북구,4563681,4563681,성북구,성북구,2019
36,0,0,송파구,4907769,4907769,송파구,송파구,2019
37,0,0,도봉구,4692371,4692371,도봉구,도봉구,2019
38,0,0,용산구,3163896,3163896,용산구,용산구,2019
39,0,0,강북구,4284400,4284400,강북구,강북구,2019
40,0,0,은평구,5918996,5918996,은평구,은평구,2019
41,0,0,중구,4286834,4286834,중구,중구,2019
42,0,0,성동구,3842650,3842650,성동구,성동구,2019
43,0,0,중랑구,5563770,5563770,중랑구,중랑구,2019
44,0,0,광진구,5570348,5570348,광진구,광진구,2019
45,0,0,구로구,3506959,3506959,구로구,구로구,2019
46,0,0,서대문구,5645606,5645606,서대문구,서대문구,2019
47,0,0,종로구,3064410,3064410,종로구,종로구,2019
48,0,0,마포구,5133276,5133276,마포구,마포구,2019
49,0,0,노원구,5649561,5649561,노원구,노원구,2019
50,0,0,동대문구,4217464,4217464,동대문구,동대문구,2020
51,0,0,강남구,3800201,3800201,강남구,강남구,2020
52,0,0,영등포구,4092093,4092093,영등포구,영등포구,2020
53,0,0,서초구,3901307,3901307,서초구,서초구,2020
54,0,0,동작구,4434030,4434030,동작구,동작구,2020
55,0,0,금천구,3229338,3229338,금천구,금천구,2020
56,0,0,양천구,4335133,4335133,양천구,양천구,2020
57,0,0,관악구,5436086,5436086,관악구,관악구,2020
58,0,0,강동구,6480642,6480642,강동구,강동구,2020
59,0,0,강서구,4712978,4712978,강서구,강서구,2020
60,0,0,성북구,4606538,4606538,성북구,성북구,2020
61,0,0,송파구,4963512,4963512,송파구,송파구,2020
62,0,0,도봉구,4814207,4814207,도봉구,도봉구,2020
63,0,0,용산구,3322285,3322285,용산구,용산구,2020
64,0,0,강북구,4346102,4346102,강북구,강북구,2020
65,0,0,은평구,6247997,6247997,은평구,은평구,2020
66,0,0,중구,4150499,4150499,중구,중구,2020
67,0,0,성동구,3913378,3913378,성동구,성동구,2020
68,0,0,중랑구,5606528,5606528,중랑구,중랑구,2020
69,0,0,광진구,5512271,5512271,광진구,광진구,2020
70,0,0,구로구,3578876,3578876,구로구,구로구,2020
71,0,0,서대문구,5843590,5843590,서대문구,서대문구,2020
72,0,0,종로구,2919470,2919470,종로구,종로구,2020
73,0,0,마포구,5015208,5015208,마포구,마포구,2020
74,0,0,노원구,5711340,5711340,노원구,노원구,2020
