id_popul,id_gu,gu,median,mean,min,max,year
1,1,강남구,1579142,1623862,124909,3353102,2018
2,2,강동구,2102922,2108660,158031,4364970,2018
3,3,강북구,1024564,1254046,65771,3564793,2018
4,4,강서구,1128090,1316946,255534,3523564,2018
5,5,관악구,1502106,1817603,210973,4636936,2018
6,6,광진구,1743067,1757562,739676,4158724,2018
7,7,구로구,1078638,1114624,124485,2590662,2018
8,8,금천구,987250,917901,64755,1731610,2018
9,9,노원구,1504425,1649860,638016,3506540,2018
10,10,도봉구,1417016,1534997,487566,3681230,2018
11,11,동대문구,1621476,1609125,423297,3858290,2018
12,12,동작구,1647936,1825676,468349,4356524,2018
13,13,마포구,2124308,2114718,791963,4287655,2018
14,14,서대문구,1698488,1762670,391017,4961531,2018
15,15,서초구,1549274,1688277,536562,3891776,2018
16,16,성동구,1435284,1542166,553748,3329071,2018
17,17,성북구,1521893,1701840,579345,4081449,2018
18,18,송파구,1474086,1507045,50218,2938747,2018
19,19,양천구,977568,1005704,145015,2592936,2018
20,20,영등포구,1470918,1509473,314792,2747205,2018
21,21,용산구,1311730,1330587,124194,2857668,2018
22,22,은평구,1361730,1512668,896512,2515362,2018
23,23,종로구,1390878,1352116,18422,3486515,2018
24,24,중구,1858079,1935101,743870,4432174,2018
25,25,중랑구,1693348,1812382,618358,4142253,2018
26,1,강남구,3729864,3911656,421961,7085807,2019
27,2,강동구,6518878,7078998,1016432,16367041,2019
28,3,강북구,4284400,4170298,363951,9725353,2019
29,4,강서구,4524272,4862706,1029994,11188730,2019
30,5,관악구,5414032,5608834,1274130,9668277,2019
31,6,광진구,5570348,5475999,1740167,8439112,2019
32,7,구로구,3506959,3591969,828019,8181827,2019
33,8,금천구,3165571,3124017,551376,5335149,2019
34,9,노원구,5649561,5557406,2646647,7926426,2019
35,10,도봉구,4692371,4668820,2623814,7434525,2019
36,11,동대문구,4162122,4321407,1990366,7629461,2019
37,12,동작구,4490261,4413341,1879423,7971926,2019
38,13,마포구,5133276,4962263,2158559,7670590,2019
39,14,서대문구,5645606,5638858,1260465,10222369,2019
40,15,서초구,3967451,4216962,1907477,9495104,2019
41,16,성동구,3842650,4073517,2223773,6874268,2019
42,17,성북구,4563681,4627956,1970433,7689818,2019
43,18,송파구,4907769,5000431,620352,10544632,2019
44,19,양천구,4212392,4109387,673914,9033873,2019
45,20,영등포구,4216671,4129782,1278148,7083252,2019
46,21,용산구,3163896,3163578,834933,6592902,2019
47,22,은평구,5918996,5927422,4908288,6716464,2019
48,23,종로구,3064410,3176201,189843,7971362,2019
49,24,중구,4286834,4244256,1532960,6958549,2019
50,25,중랑구,5563770,5576450,2445001,10216663,2019
51,1,강남구,3800201,3970778,626361,7344389,2020
52,2,강동구,6480642,6908571,1251285,19237347,2020
53,3,강북구,4346102,4164910,346103,9268979,2020
54,4,강서구,4712978,4984363,1031718,11500673,2020
55,5,관악구,5436086,5600016,1356338,9128332,2020
56,6,광진구,5512271,5480490,1549058,8413306,2020
57,7,구로구,3578876,3624955,844041,8484089,2020
58,8,금천구,3229338,3195136,554462,5487713,2020
59,9,노원구,5711340,5623670,2266006,7564075,2020
60,10,도봉구,4814207,4693381,2624733,7151624,2020
61,11,동대문구,4217464,4345744,1689925,7217978,2020
62,12,동작구,4434030,4396651,1916837,7612699,2020
63,13,마포구,5015208,4876163,2180691,7376074,2020
64,14,서대문구,5843590,5695029,1264218,10794810,2020
65,15,서초구,3901307,4208675,1986600,8994751,2020
66,16,성동구,3913378,4039086,2163098,6679244,2020
67,17,성북구,4606538,4518912,1668017,7406208,2020
68,18,송파구,4963512,5044524,838544,9706419,2020
69,19,양천구,4335133,4193439,660691,10030549,2020
70,20,영등포구,4092093,4105180,1329506,7304677,2020
71,21,용산구,3322285,3112608,855160,6749449,2020
72,22,은평구,6247997,6242359,6002480,6498629,2020
73,23,종로구,2919470,3013604,183425,7111269,2020
74,24,중구,4150499,4031902,1027269,7016202,2020
75,25,중랑구,5606528,5710217,2640965,10229718,2020
