,id_popul,id_구,구,평균_유동인구_수,연도,median
0,1,1,강남구,1623862,2018,1579142
1,2,2,강동구,2108660,2018,2102922
2,3,3,강북구,1254046,2018,1024564
3,4,4,강서구,1381137,2018,1141099
4,5,5,관악구,1817603,2018,1502106
5,6,6,광진구,1813570,2018,1758086
6,7,7,구로구,1114624,2018,1078638
7,8,8,금천구,917901,2018,987250
8,9,9,노원구,1684053,2018,1511084
9,10,10,도봉구,1566538,2018,1423552
10,11,11,동대문구,1609125,2018,1621476
11,12,12,동작구,1825676,2018,1647936
12,13,13,마포구,2202555,2018,2126375
13,14,14,서대문구,2141951,2018,1755688
14,15,15,서초구,1688277,2018,1549274
15,16,16,성동구,1542166,2018,1435284
16,17,17,성북구,1701840,2018,1521893
17,18,18,송파구,1507045,2018,1474086
18,19,19,양천구,1025928,2018,981745
19,20,20,영등포구,1509473,2018,1470918
20,21,21,용산구,1330587,2018,1311730
21,22,22,은평구,1512668,2018,1361730
22,23,23,종로구,1352116,2018,1390878
23,24,24,중구,1935101,2018,1858079
24,25,25,중랑구,1812382,2018,1693348
25,26,1,강남구,3911656,2019,3729864
26,27,2,강동구,7078998,2019,6518878
27,28,3,강북구,4170298,2019,4284400
28,29,4,강서구,5005055,2019,4566734
29,30,5,관악구,5608834,2019,5414032
30,31,6,광진구,5475999,2019,5570348
31,32,7,구로구,3591969,2019,3506959
32,33,8,금천구,3124017,2019,3165571
33,34,9,노원구,5557406,2019,5649561
34,35,10,도봉구,4668820,2019,4692371
35,36,11,동대문구,4321407,2019,4162122
36,37,12,동작구,4413341,2019,4490261
37,38,13,마포구,4962263,2019,5133276
38,39,14,서대문구,5962551,2019,5710229
39,40,15,서초구,4497155,2019,4023374
40,41,16,성동구,4073517,2019,3842650
41,42,17,성북구,4627956,2019,4563681
42,43,18,송파구,5000431,2019,4907769
43,44,19,양천구,4109387,2019,4212392
44,45,20,영등포구,4129782,2019,4216671
45,46,21,용산구,3163578,2019,3163896
46,47,22,은평구,6690533,2019,6175262
47,48,23,종로구,3176201,2019,3064410
48,49,24,중구,4244256,2019,4286834
49,50,25,중랑구,5576450,2019,5563770
50,51,1,강남구,3970778,2020,3800201
51,52,2,강동구,6908571,2020,6480642
52,53,3,강북구,4164910,2020,4346102
53,54,4,강서구,5143527,2020,4740836
54,55,5,관악구,5600016,2020,5436086
55,56,6,광진구,5480490,2020,5512271
56,57,7,구로구,3624955,2020,3578876
57,58,8,금천구,3195136,2020,3229338
58,59,9,노원구,5623670,2020,5711340
59,60,10,도봉구,4693381,2020,4814207
60,61,11,동대문구,4345744,2020,4217464
61,62,12,동작구,4396651,2020,4434030
62,63,13,마포구,4876163,2020,5015208
63,64,14,서대문구,6031132,2020,5886496
64,65,15,서초구,4401193,2020,3933604
65,66,16,성동구,4039086,2020,3913378
66,67,17,성북구,4518912,2020,4606538
67,68,18,송파구,5044524,2020,4963512
68,69,19,양천구,4193439,2020,4335133
69,70,20,영등포구,4105180,2020,4092093
70,71,21,용산구,3112608,2020,3322285
71,72,22,은평구,6827242,2020,6346766
72,73,23,종로구,3013604,2020,2919470
73,74,24,중구,4031902,2020,4150499
74,75,25,중랑구,5710217,2020,5606528
