year,gu_num,gu,dong,average_sizetrade
2018,1,강남구,개포동,2350.950643
2018,1,강남구,논현동,1199.528213
2018,1,강남구,대치동,1929.110361
2018,1,강남구,도곡동,1478.389307
2018,1,강남구,삼성동,1773.421078
2018,1,강남구,세곡동,1268.301391
2018,1,강남구,수서동,1755.884568
2018,1,강남구,신사동,1089.923219
2018,1,강남구,압구정동,2294.912258
2018,1,강남구,역삼동,1418.038794
2018,1,강남구,율현동,1223.610835
2018,1,강남구,일원동,1634.041831
2018,1,강남구,자곡동,1347.276421
2018,1,강남구,청담동,1690.052161
2018,0,강북구,미아동,611.8330187
2018,0,강북구,번동,516.0534501
2018,0,강북구,수유동,460.7615411
2018,0,강북구,우이동,465.2595899
2018,0,노원구,공릉동,559.0819312
2018,0,노원구,상계동,619.5435142
2018,0,노원구,월계동,602.4324346
2018,0,노원구,중계동,620.5742915
2018,0,노원구,하계동,608.2706271
2018,0,도봉구,도봉동,443.7081465
2018,0,도봉구,방학동,447.1936961
2018,0,도봉구,쌍문동,447.239137
2018,0,도봉구,창동,608.136497
2018,1,서초구,내곡동,1248.948231
2018,1,서초구,반포동,2178.668139
2018,1,서초구,방배동,1130.640017
2018,1,서초구,서초동,1184.745723
2018,1,서초구,신원동,1448.408849
2018,1,서초구,양재동,897.161169
2018,1,서초구,우면동,1144.847974
2018,1,서초구,잠원동,1896.8602
2018,0,성북구,길음동,740.3221328
2018,0,성북구,돈암동,598.5837832
2018,0,성북구,동선동1가,517.2513696
2018,0,성북구,동선동3가,361.6071429
2018,0,성북구,동선동4가,516.3235294
2018,0,성북구,동소문동4가,586.9022908
2018,0,성북구,동소문동5가,710.7248677
2018,0,성북구,동소문동6가,1109.098639
2018,0,성북구,동소문동7가,762.4646147
2018,0,성북구,보문동3가,766.3706606
2018,0,성북구,보문동4가,570.1318532
2018,0,성북구,보문동6가,909.7411774
2018,0,성북구,삼선동2가,684.0114728
2018,0,성북구,삼선동3가,849.588696
2018,0,성북구,삼선동4가,687.3330765
2018,0,성북구,삼선동5가,410.1123596
2018,0,성북구,상월곡동,556.5429285
2018,0,성북구,석관동,646.9571533
2018,0,성북구,성북동,514.1970365
2018,0,성북구,성북동1가,1222.115385
2018,0,성북구,안암동1가,737.3161279
2018,0,성북구,안암동3가,320.971043
2018,0,성북구,안암동4가,287.735318
2018,0,성북구,장위동,602.5940223
2018,0,성북구,정릉동,546.7786237
2018,0,성북구,종암동,649.1062637
2018,0,성북구,하월곡동,637.4392474
2018,1,송파구,가락동,975.1223802
2018,1,송파구,거여동,860.5301566
2018,1,송파구,마천동,762.2035802
2018,1,송파구,문정동,1052.300928
2018,1,송파구,방이동,1060.671256
2018,1,송파구,삼전동,935.8953677
2018,1,송파구,석촌동,1324.295785
2018,1,송파구,송파동,1042.206309
2018,1,송파구,신천동,1532.604727
2018,1,송파구,오금동,883.5990464
2018,1,송파구,잠실동,1920.396177
2018,1,송파구,장지동,1228.940443
2018,1,송파구,풍납동,887.1141736
2019,1,강남구,개포동,2932.417325
2019,1,강남구,논현동,1352.569954
2019,1,강남구,대치동,2243.137717
2019,1,강남구,도곡동,1735.652185
2019,1,강남구,삼성동,2009.326252
2019,1,강남구,세곡동,1432.500805
2019,1,강남구,수서동,1887.107627
2019,1,강남구,신사동,1211.551705
2019,1,강남구,압구정동,2385.298586
2019,1,강남구,역삼동,1889.298801
2019,1,강남구,율현동,1412.418759
2019,1,강남구,일원동,1845.202396
2019,1,강남구,자곡동,1495.207527
2019,1,강남구,청담동,1912.007224
2019,0,강북구,미아동,726.8358235
2019,0,강북구,번동,573.9428328
2019,0,강북구,수유동,652.3042819
2019,0,강북구,우이동,479.4664742
2019,0,노원구,공릉동,667.9926339
2019,0,노원구,상계동,708.0721203
2019,0,노원구,월계동,735.4433222
2019,0,노원구,중계동,728.4373854
2019,0,노원구,하계동,709.5135355
2019,0,도봉구,도봉동,498.7244333
2019,0,도봉구,방학동,498.1120739
2019,0,도봉구,쌍문동,515.9206432
2019,0,도봉구,창동,727.0568837
2019,1,서초구,내곡동,1380.631919
2019,1,서초구,반포동,2525.146243
2019,1,서초구,방배동,1383.469488
2019,1,서초구,서초동,1430.183586
2019,1,서초구,신원동,1640.67301
2019,1,서초구,양재동,1065.099185
2019,1,서초구,우면동,1376.697602
2019,1,서초구,잠원동,2195.161706
2019,0,성북구,길음동,912.4889391
2019,0,성북구,돈암동,728.5574254
2019,0,성북구,동선동1가,541.8668352
2019,0,성북구,동선동3가,376.635514
2019,0,성북구,동선동4가,591.9117647
2019,0,성북구,동소문동4가,676.3666218
2019,0,성북구,동소문동5가,963.1904762
2019,0,성북구,동소문동6가,1305.73499
2019,0,성북구,동소문동7가,927.2729342
2019,0,성북구,보문동3가,884.8366692
2019,0,성북구,보문동4가,767.7938593
2019,0,성북구,보문동6가,1195.699819
2019,0,성북구,삼선동2가,815.2188877
2019,0,성북구,삼선동3가,1037.736406
2019,0,성북구,삼선동4가,795.2640757
2019,0,성북구,삼선동5가,449.4382022
2019,0,성북구,상월곡동,649.5580667
2019,0,성북구,석관동,761.8057312
2019,0,성북구,성북동,455.5042838
2019,0,성북구,성북동1가,1017.779912
2019,0,성북구,안암동1가,818.4256431
2019,0,성북구,안암동3가,354.7265476
2019,0,성북구,안암동4가,310.3265468
2019,0,성북구,장위동,795.8447911
2019,0,성북구,정릉동,633.631698
2019,0,성북구,종암동,842.9869618
2019,0,성북구,하월곡동,769.0470092
2019,1,송파구,가락동,1160.098416
2019,1,송파구,거여동,978.7117672
2019,1,송파구,마천동,839.487234
2019,1,송파구,문정동,1202.009909
2019,1,송파구,방이동,1391.856587
2019,1,송파구,삼전동,974.8478836
2019,1,송파구,석촌동,1255.201327
2019,1,송파구,송파동,1190.897966
2019,1,송파구,신천동,1746.915224
2019,1,송파구,오금동,1064.06023
2019,1,송파구,잠실동,2097.699456
2019,1,송파구,장지동,1380.031743
2019,1,송파구,풍납동,997.6526627
2020,1,강남구,개포동,2733.658239
2020,1,강남구,논현동,1554.149738
2020,1,강남구,대치동,2340.773948
2020,1,강남구,도곡동,2029.138322
2020,1,강남구,삼성동,1859.013645
2020,1,강남구,세곡동,1705.050596
2020,1,강남구,수서동,2207.423856
2020,1,강남구,신사동,1310.66642
2020,1,강남구,압구정동,2585.039563
2020,1,강남구,역삼동,1835.192123
2020,1,강남구,율현동,1425.441751
2020,1,강남구,일원동,2167.414826
2020,1,강남구,자곡동,1412.540015
2020,1,강남구,청담동,1987.420771
2020,0,강북구,미아동,855.273448
2020,0,강북구,번동,669.1581301
2020,0,강북구,수유동,656.4414001
2020,0,강북구,우이동,534.8371399
2020,0,노원구,공릉동,758.4937521
2020,0,노원구,상계동,850.2505836
2020,0,노원구,월계동,895.4874701
2020,0,노원구,중계동,882.1502761
2020,0,노원구,하계동,861.1940154
2020,0,도봉구,도봉동,583.9870049
2020,0,도봉구,방학동,567.1324778
2020,0,도봉구,쌍문동,565.2384478
2020,0,도봉구,창동,867.9615127
2020,1,서초구,내곡동,1584.598979
2020,1,서초구,반포동,2736.054963
2020,1,서초구,방배동,1473.273078
2020,1,서초구,서초동,1551.448845
2020,1,서초구,신원동,1816.899218
2020,1,서초구,양재동,1097.90184
2020,1,서초구,우면동,1453.386238
2020,1,서초구,잠원동,2557.576967
2020,0,성북구,길음동,1124.798355
2020,0,성북구,돈암동,868.1098835
2020,0,성북구,동선동1가,626.8050288
2020,0,성북구,동선동3가,400
2020,0,성북구,동선동4가,822.0588235
2020,0,성북구,동소문동4가,793.8775649
2020,0,성북구,동소문동5가,1154.676975
2020,0,성북구,동소문동6가,1541.071429
2020,0,성북구,동소문동7가,990.6699443
2020,0,성북구,보문동2가,611.1111111
2020,0,성북구,보문동3가,1067.720278
2020,0,성북구,보문동4가,819.3267155
2020,0,성북구,보문동6가,1356.255622
2020,0,성북구,삼선동2가,987.8231065
2020,0,성북구,삼선동3가,1168.312578
2020,0,성북구,삼선동4가,900.8247369
2020,0,성북구,상월곡동,790.2467403
2020,0,성북구,석관동,951.7716342
2020,0,성북구,성북동,455.070965
2020,0,성북구,성북동1가,990.1494565
2020,0,성북구,안암동1가,1001.950105
2020,0,성북구,안암동3가,478.2302286
2020,0,성북구,안암동4가,366.4455111
2020,0,성북구,장위동,972.1178003
2020,0,성북구,정릉동,749.0570654
2020,0,성북구,종암동,1005.229062
2020,0,성북구,하월곡동,903.5322881
2020,1,송파구,가락동,1426.878732
2020,1,송파구,거여동,1234.586161
2020,1,송파구,마천동,1056.9423
2020,1,송파구,문정동,1407.326837
2020,1,송파구,방이동,1503.348835
2020,1,송파구,삼전동,1001.929997
2020,1,송파구,석촌동,1348.555295
2020,1,송파구,송파동,1462.550151
2020,1,송파구,신천동,1969.937047
2020,1,송파구,오금동,1250.131272
2020,1,송파구,잠실동,2379.483057
2020,1,송파구,장지동,1677.51148
2020,1,송파구,풍납동,1338.296229
