year,gu,dong,pop_total,pop_average
2018,강남구,개포2동,228916,170615.125
2018,강남구,개포4동,413581,808585.4
2018,강남구,논현1동,1386987,1894511.929
2018,강남구,논현2동,2027095,2096811.531
2018,강남구,대치1동,1998932,2068387
2018,강남구,대치2동,1778436,1704554.625
2018,강남구,대치4동,3275159,2725353.5
2018,강남구,도곡1동,1696618,1440647.5
2018,강남구,도곡2동,1164530,1211977.25
2018,강남구,삼성1동,1675721,1267991.583
2018,강남구,삼성2동,2836411,1748135.875
2018,강남구,신사동,1943382,1819852.5
2018,강남구,역삼1동,1596831,2085406.625
2018,강남구,역삼2동,3317112,2660838.75
2018,강남구,일원1동,1140300,1175477.875
2018,강남구,청담동,1202416,1480536.292
2018,강북구,미아동,2287267,1886473.375
2018,강북구,번1동,2975307,2865663.35
2018,강북구,번2동,662993,679155.75
2018,강북구,번3동,733273,801479.5
2018,강북구,삼각산동,1864481,1893566.5
2018,강북구,삼양동,2469558,2563708
2018,강북구,송중동,1093873,1390336.063
2018,강북구,송천동,1517742,1454091.5
2018,강북구,수유1동,2261559,1621358.5
2018,강북구,수유2동,1204245,1299137.25
2018,강북구,수유3동,1994530,2305069.5
2018,강북구,인수동,453704,957625.5625
2018,노원구,공릉1동,3752718,3356690.875
2018,노원구,상계1동,756325,889389.75
2018,노원구,상계2동,2507809,3015601.25
2018,노원구,상계5동,1369917,1812682.667
2018,노원구,월계1동,1307504,1501418.25
2018,노원구,월계2동,706392,638003.75
2018,노원구,하계1동,630354,768858.5
2018,도봉구,도봉제1동,207875,274238.9375
2018,도봉구,도봉제2동,499346,457273
2018,도봉구,방학제1동,1455046,1416991
2018,도봉구,방학제2동,483168,1105814.95
2018,도봉구,방학제3동,463686,486913.25
2018,도봉구,쌍문제1동,744442,645310.875
2018,도봉구,쌍문제3동,1946908,2479544.875
2018,도봉구,창제1동,2608087,2959314.5
2018,도봉구,창제3동,710256,655199.75
2018,도봉구,창제5동,897869,975698.5
2018,서초구,반포1동,2446508,2624906.167
2018,서초구,반포4동,559856,790852.125
2018,서초구,방배1동,1561210,1567427.167
2018,서초구,방배2동,1913038,2164504.375
2018,서초구,방배3동,1127437,1060254.25
2018,서초구,방배4동,1625902,2128770.25
2018,서초구,방배본동,1405194,1328360.063
2018,서초구,서초1동,1760812,1719108.5
2018,서초구,서초2동,1340370,1419295.75
2018,서초구,서초3동,941347,1420852.917
2018,서초구,양재1동,1196648,1197270.188
2018,서초구,양재2동,854228,812083.875
2018,서초구,잠원동,2131041,2126309.5
2018,성북구,길음제1동,1056933,1071127.75
2018,성북구,길음제2동,1393221,1451095.75
2018,성북구,동선동,3286859,3187023.938
2018,성북구,보문동,1251816,1833105.2
2018,성북구,삼선동,1742108,2269158.107
2018,성북구,석관동,1320670,1264947.9
2018,성북구,성북동,1220438,1354537.5
2018,성북구,안암동,1697888,2040690.5
2018,성북구,월곡제1동,1847200,1674675.417
2018,성북구,월곡제2동,1126762,1593617.2
2018,성북구,장위제1동,658380,715496
2018,성북구,장위제2동,985465,1099044.5
2018,성북구,장위제3동,487566,539933.75
2018,성북구,정릉제2동,1583085,1134883.75
2018,성북구,정릉제3동,192803,498340.5
2018,성북구,정릉제4동,869699,876973
2018,성북구,종암동,907342,1037639.05
2018,송파구,가락2동,1260494,1368655.583
2018,송파구,가락본동,1165411,1533710.813
2018,송파구,마천1동,971971,969026.75
2018,송파구,마천2동,1111283,1100339.25
2018,송파구,문정1동,1445301,1567863.75
2018,송파구,방이1동,1203840,1205796.5
2018,송파구,방이2동,2698844,2067816.25
2018,송파구,삼전동,773701,1474302.313
2018,송파구,석촌동,1313259,1234030.583
2018,송파구,송파1동,1690107,1728181.25
2018,송파구,오금동,946502,966751
2018,송파구,잠실본동,2768448,2816561
2018,송파구,장지동,1525212,1627645.25
2018,송파구,풍납1동,1906413,1927959.5
2019,강남구,개포2동,1009044,674688.5
2019,강남구,개포4동,2002815,2903303.9
2019,강남구,논현1동,4821883,4433367.143
2019,강남구,논현2동,3503467,4293843.375
2019,강남구,대치1동,4843729,4900429.5
2019,강남구,대치2동,4224242,4231219.875
2019,강남구,대치4동,6929460,6516311.583
2019,강남구,도곡1동,4176869,4072164
2019,강남구,도곡2동,2843080,2863315.375
2019,강남구,삼성1동,2877956,2440800.5
2019,강남구,삼성2동,6203246,4329386.375
2019,강남구,신사동,3729212,3658521.688
2019,강남구,역삼1동,4539131,4194381.75
2019,강남구,역삼2동,6853022,6249764.125
2019,강남구,일원1동,3715517,3873881.625
2019,강남구,청담동,3978718,3847604
2019,강북구,미아동,7089770,5371635.25
2019,강북구,번1동,7337041,6511083.3
2019,강북구,번2동,2761886,2861065.75
2019,강북구,번3동,3913903,3728857.25
2019,강북구,삼각산동,5178283,5302692.5
2019,강북구,삼양동,7485374,7666938.75
2019,강북구,송중동,5025053,4660412.375
2019,강북구,송천동,6985205,6080490.35
2019,강북구,수유1동,6744413,5874613.5
2019,강북구,수유2동,4938449,4840739.625
2019,강북구,수유3동,5717580,5979381
2019,강북구,인수동,2200326,4518062.875
2019,노원구,공릉1동,8883887,7650483.75
2019,노원구,상계1동,2690289,2566022.25
2019,노원구,상계2동,9105455,8143379.917
2019,노원구,상계5동,5720615,5385117
2019,노원구,월계1동,3614463,3506595.75
2019,노원구,월계2동,5146187,4950755.75
2019,노원구,하계1동,1593195,1645786.5
2019,도봉구,도봉제1동,1249068,1208927.5
2019,도봉구,도봉제2동,1783326,1861470.375
2019,도봉구,방학제1동,4819900,4667902.85
2019,도봉구,방학제2동,2113615,3877943.05
2019,도봉구,방학제3동,2079054,2081658.75
2019,도봉구,쌍문제1동,3910857,3039917.625
2019,도봉구,쌍문제3동,7430126,7854333
2019,도봉구,창제1동,9652461,9196600.75
2019,도봉구,창제3동,5166224,4901915.75
2019,도봉구,창제5동,4717244,4038266.125
2019,서초구,반포1동,5601795,5239424.833
2019,서초구,반포4동,2127291,2733144.813
2019,서초구,방배1동,4106155,3733900.25
2019,서초구,방배2동,5204549,4484533.875
2019,서초구,방배3동,2187842,2215584.5
2019,서초구,방배4동,4693242,4742346.375
2019,서초구,방배본동,4767660,4285245.5
2019,서초구,서초1동,4729947,4123222.313
2019,서초구,서초2동,3551065,3503423.5
2019,서초구,서초3동,2704351,3103135.583
2019,서초구,양재1동,3397307,2720114.75
2019,서초구,양재2동,2647559,2930325.833
2019,서초구,잠원동,4463550,4516311
2019,성북구,길음제1동,3430420,3392565.5
2019,성북구,길음제2동,5214504,5232731
2019,성북구,동선동,6882213,6250975.063
2019,성북구,보문동,5128819,4957830.45
2019,성북구,삼선동,3635474,4498259.107
2019,성북구,석관동,3072220,4073715.8
2019,성북구,성북동,3178594,3294195.167
2019,성북구,안암동,2279917,4087834.95
2019,성북구,월곡제1동,6550050,5221175
2019,성북구,월곡제2동,4859034,4530578.65
2019,성북구,장위제1동,2784629,3072253
2019,성북구,장위제2동,3729359,4310849.125
2019,성북구,장위제3동,2784474,2916728
2019,성북구,정릉제2동,5928762,4507867.375
2019,성북구,정릉제3동,510762,1459460.375
2019,성북구,정릉제4동,3418295,3406988
2019,성북구,종암동,2786507,4006531.25
2019,송파구,가락2동,5511838,5133414.167
2019,송파구,가락본동,4155501,4354127.375
2019,송파구,마천1동,4840151,4806158
2019,송파구,마천2동,5441225,5419040.75
2019,송파구,문정1동,5670742,5796995.5
2019,송파구,방이1동,3938257,3754319.25
2019,송파구,방이2동,6871731,6209075.75
2019,송파구,삼전동,4281512,5209704.438
2019,송파구,석촌동,4282765,4919906.75
2019,송파구,송파1동,5095614,5195866.167
2019,송파구,오금동,3452324,3237592.75
2019,송파구,잠실본동,8092951,8211541
2019,송파구,장지동,4787587,4614564
2019,송파구,풍납1동,6718394,6830385.75
2020,강남구,개포2동,949507,796930.625
2020,강남구,개포4동,2097261,2815599.45
2020,강남구,논현1동,4204012,4521168.071
2020,강남구,논현2동,3628839,4350163.094
2020,강남구,대치1동,5253750,5215711.75
2020,강남구,대치2동,4175568,4211201.75
2020,강남구,대치4동,7050002,6676997.25
2020,강남구,도곡1동,4083361,4179391.25
2020,강남구,도곡2동,2753984,2868543.875
2020,강남구,삼성1동,2394154,2132363.167
2020,강남구,삼성2동,6023917,4458252.875
2020,강남구,신사동,3199302,3608338.688
2020,강남구,역삼1동,4388544,4358678.25
2020,강남구,역삼2동,6387206,6298627.375
2020,강남구,일원1동,3607530,3715174
2020,강남구,청담동,3909208,4092532.25
2020,강북구,미아동,6856791,5603737.667
2020,강북구,번1동,7484470,6560475.8
2020,강북구,번2동,2624733,2661706.25
2020,강북구,번3동,3834693,3963312.5
2020,강북구,삼각산동,5035273,5019127
2020,강북구,삼양동,6645187,6748044
2020,강북구,송중동,5388790,4683334.438
2020,강북구,송천동,6341303,6279254.05
2020,강북구,수유1동,6646079,6047360.75
2020,강북구,수유2동,4348808,4894795.625
2020,강북구,수유3동,5918761,5795933.35
2020,강북구,인수동,2326316,4672782.813
2020,노원구,공릉1동,9194783,7960765.375
2020,노원구,상계1동,2640965,2764685.5
2020,노원구,상계2동,8437020,8271146.25
2020,노원구,상계5동,5823311,5698273.917
2020,노원구,월계1동,3435950,3481799.75
2020,노원구,월계2동,4914896,5176328.25
2020,노원구,하계1동,1632519,1580011.5
2020,도봉구,도봉제1동,1324682,1310500.125
2020,도봉구,도봉제2동,1808053,1786418.875
2020,도봉구,방학제1동,4718062,4668601.65
2020,도봉구,방학제2동,2148755,3672769.15
2020,도봉구,방학제3동,2014401,2233674.75
2020,도봉구,쌍문제1동,3647234,2949651.25
2020,도봉구,쌍문제3동,7256883,7706618.25
2020,도봉구,창제1동,9162726,9136615.75
2020,도봉구,창제3동,4909590,5093825.5
2020,도봉구,창제5동,4334437,3631477.375
2020,서초구,반포1동,5198665,5239041.75
2020,서초구,반포4동,2163278,2897140.75
2020,서초구,방배1동,4018473,3699031.25
2020,서초구,방배2동,4606379,4276811.188
2020,서초구,방배3동,2135225,2050832.75
2020,서초구,방배4동,4774707,4669397.438
2020,서초구,방배본동,4417652,4330920.813
2020,서초구,서초1동,4100128,3664028.938
2020,서초구,서초2동,3196575,3190760
2020,서초구,서초3동,3127303,3226612.25
2020,서초구,양재1동,3300288,2762322
2020,서초구,양재2동,2741714,2919605.75
2020,서초구,잠원동,4282863,4419595
2020,성북구,길음제1동,3128286,3165033.5
2020,성북구,길음제2동,5138059,5238670.75
2020,성북구,동선동,6392980,5567709.313
2020,성북구,보문동,4484571,4432688.188
2020,성북구,삼선동,3139371,4036854.607
2020,성북구,석관동,3082859,4132342.25
2020,성북구,성북동,2962426,3049826.167
2020,성북구,안암동,1705426,3282434.75
2020,성북구,월곡제1동,6977685,5735546.25
2020,성북구,월곡제2동,4930737,4713688.45
2020,성북구,장위제1동,2662310,2988503.5
2020,성북구,장위제2동,3605044,4366918.75
2020,성북구,장위제3동,2950889,3020007.75
2020,성북구,정릉제2동,6202277,4587413.375
2020,성북구,정릉제3동,419652,1483270.125
2020,성북구,정릉제4동,3423833,3436498.25
2020,성북구,종암동,2620135,4268127.35
2020,송파구,가락2동,5093640,5208394.25
2020,송파구,가락본동,3910370,4272433.938
2020,송파구,마천1동,5797973,5165302.25
2020,송파구,마천2동,5543774,5490209.5
2020,송파구,문정1동,5702012,5749895.75
2020,송파구,방이1동,3586318,3710855.25
2020,송파구,방이2동,6453146,6134610
2020,송파구,삼전동,4334826,5355901.688
2020,송파구,석촌동,4339151,5186843.833
2020,송파구,송파1동,4943172,5279196.083
2020,송파구,오금동,3345603,3409494.75
2020,송파구,잠실본동,7288863,7837713.75
2020,송파구,장지동,4148942,4414361.25
2020,송파구,풍납1동,6493564,6319992.25
